date,open,high,low,close,volume,Name
1/1/2018,170.16,172.3,169.26,172.26,25555934,AAPL
1/2/2018,170.16,172.3,169.26,172.26,25555934,AAPL
1/3/2018,172.53,174.55,171.96,172.23,29517899,AAPL
1/4/2018,172.54,173.47,172.08,173.03,22434597,AAPL
1/5/2018,173.44,175.37,173.05,175,23660018,AAPL
1/6/2018,173.44,175.37,173.05,175,23660018,AAPL
1/7/2018,173.44,175.37,173.05,175,23660018,AAPL
1/8/2018,174.35,175.61,173.93,174.35,20567766,AAPL
1/9/2018,174.55,175.06,173.41,174.33,21583997,AAPL
1/10/2018,173.16,174.3,173,174.29,23959895,AAPL
1/11/2018,174.59,175.4886,174.49,175.28,18667729,AAPL
1/12/2018,176.18,177.36,175.65,177.09,25418080,AAPL
1/13/2018,176.18,177.36,175.65,177.09,25418080,AAPL
1/14/2018,176.18,177.36,175.65,177.09,25418080,AAPL
1/15/2018,176.18,177.36,175.65,177.09,25418080,AAPL
1/16/2018,177.9,179.39,176.14,176.19,29565947,AAPL
1/17/2018,176.15,179.25,175.07,179.1,34386836,AAPL
1/18/2018,179.37,180.1,178.25,179.26,31193352,AAPL
1/19/2018,178.61,179.58,177.41,178.46,32425067,AAPL
1/20/2018,178.61,179.58,177.41,178.46,32425067,AAPL
1/21/2018,178.61,179.58,177.41,178.46,32425067,AAPL
1/22/2018,177.3,177.78,176.6016,177,27108551,AAPL
1/23/2018,177.3,179.44,176.82,177.04,32689146,AAPL
1/24/2018,177.25,177.3,173.2,174.22,51105090,AAPL
1/25/2018,174.505,174.95,170.53,171.11,41529004,AAPL
1/26/2018,172,172,170.06,171.51,39143011,AAPL
1/27/2018,172,172,170.06,171.51,39143011,AAPL
1/28/2018,172,172,170.06,171.51,39143011,AAPL
1/29/2018,170.16,170.16,167.07,167.96,50640406,AAPL
1/30/2018,165.525,167.37,164.7,166.97,46048185,AAPL
1/31/2018,166.87,168.4417,166.5,167.43,32478930,AAPL
2/1/2018,167.165,168.62,166.76,167.78,47230787,AAPL
2/2/2018,166,166.8,160.1,160.5,86593825,AAPL
2/3/2018,166,166.8,160.1,160.5,86593825,AAPL
2/4/2018,166,166.8,160.1,160.5,86593825,AAPL
2/5/2018,159.1,163.88,156,156.49,72738522,AAPL
2/6/2018,154.83,163.72,154,163.03,68243838,AAPL
2/7/2018,163.085,163.4,159.0685,159.54,51608580,AAPL
